institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
Illinois Wesleyan University,IL,Bloomington,50026,1693,1120-1325,http://www.iwu.edu,59
Immaculata University,PA,Immaculata,27350,1504,1018-1223,http://www.immaculata.edu,81
Indiana Institute of Technology,IN,Fort Wayne,26900,1524,770-1187,http://www.indianatech.edu,61
Indiana State University,IN,Terre Haute,20228,10951,910-1120,//www.indstate.edu/,90
Indiana University--Bloomington,IN,Bloomington,36514,33301,1150-1360,https://www.indiana.edu,77
Indiana University East,IN,Richmond,19978,3379,920-1120,https://www.iue.edu,65
Indiana University--Kokomo,IN,Kokomo,19978,2912,950-1130,http://www.iuk.edu,80
Indiana University Northwest,IN,Gary,19977,3534,910-1100,https://www.iun.edu,80
Indiana University of Pennsylvania,PA,Indiana,17674,9215,910-1120,http://www.iup.edu,93
Indiana University-Purdue University--Indianapolis,IN,Indianapolis,30712,21246,1000-1200,https://www.iupui.edu,81
Indiana University--South Bend,IN,South Bend,19978,4707,930-1130,https://www.iusb.edu,82
Indiana University Southeast,IN,New Albany,19978,4659,950-1150,https://www.ius.edu,85
Indiana Wesleyan University--Marion,IN,Marion,25980,2853,1030-1240,http://www.indwes.edu,68
Indian River State College,FL,Fort Pierce,9890,,N/A,http://www.irsc.edu,100
Institute of American Indian Arts,NM,Santa Fe,5295,549,N/A,http://www.iaia.edu,
Inter American University of Puerto Rico--Aguadilla,PR,Aguadilla,,3667,N/A,,46
Inter American University of Puerto Rico--Arecibo,PR,Arecibo,5986,3594,N/A,http://www.arecibo.inter.edu,28
Inter American University of Puerto Rico--Barranquitas,PR,Barranquitas,5902,1521,N/A,http://www.br.inter.edu/,40
Inter American University of Puerto Rico--Bayamon,PR,Bayamon,5898,4188,N/A,http://www.bayamon.inter.edu/,31
Inter American University of Puerto Rico--Fajardo,PR,Fajardo,,1769,N/A,//www.fajardo.inter.edu,57
Inter American University of Puerto Rico--Guayama,PR,Guayama,187,1605,N/A,http://www.guayama.inter.edu/,43
Inter American University of Puerto Rico--Metropolitan Campus,PR,San Juan,7476,5546,N/A,http://www.metro.inter.edu/,18
Inter American University of Puerto Rico--Ponce,PR,Mercedita,5220,4198,N/A,http://www.ponce.inter.edu,28
Inter American University of Puerto Rico--San German,PR,San German,,3787,N/A,http://www.sg.inter.edu/,45
International College of the Cayman Islands,,Grand Cayman KY1-1501,,,N/A,//www.icci.edu.ky/index.html,
Iona College,NY,New Rochelle,40172,3287,990-1170,http://www.iona.edu,88
Iowa State University,IA,Ames,24508,29621,1092-1334,http://www.iastate.edu,91
Iowa Wesleyan University,IA,Mount Pleasant,31530,598,910-1060,http://www.iw.edu,60
Ithaca College,NY,Ithaca,45274,6101,1160-1338,http://www.ithaca.edu,69
Jackson College,MI,Jackson,,,N/A,,
Jackson State University,MS,Jackson,19620,5331,850-1068,http://www.udayton.edu,69
Jacksonville State University,AL,Jacksonville,20424,7321,910-930,http://www.jsu.edu,54
Jacksonville University,FL,Jacksonville,38620,2920,900-1205,http://www.ju.edu/index.php,90
James Madison University,VA,Harrisonburg,28790,19923,1120-1290,http://www.jmu.edu,71
Jamestown Business College,NY,Jamestown,,,N/A,,
Jarvis Christian College,TX,Hawkins,11720,964,800-980,http://www.jarvis.edu,14
Jefferson College of Health Sciences,VA,Roanoke,,,N/A,,
Jewish Theological Seminary of America,NY,New York,,,N/A,//www.jtsa.edu,
John Brown University,AR,Siloam Springs,27668,1903,1110-1365,http://www.jbu.edu,77
John Carroll University,OH,University Heights,42910,3076,1090-1290,http://www.coe.edu,83
John F. Kennedy University,CA,Pleasant Hill,,,N/A,//www.jfku.edu,
John Paul the Great Catholic University,CA,Escondido,27000,286,960-1240,https://jpcatholic.edu/,90
Johns Hopkins University,MD,Baltimore,55350,6064,1470-1560,http://www.jhu.edu,11
Johnson C. Smith University,NC,Charlotte,18236,1480,810-980,http://www.jcsu.edu,46
Johnson University,TN,Knoxville,16920,820,1050-1240,//www.johnsonu.edu/,71
Johnson University,FL,Kissimmee,,,N/A,//www.johnsonu.edu/Florida/Home.aspx,
Johnson & Wales University,RI,Providence,33404,6681,990-1190,https://www.jwu.edu/,91
Judson College,AL,Marion,,,N/A,http://www.judson.edu/,51
Judson University,IL,Elgin,29870,1034,950-1180,http://www.judsonu.edu,75
Juilliard School,NY,New York,47620,,N/A,http://www.juilliard.edu,6
Juniata College,PA,Huntingdon,47075,1423,1080-1320,http://www.juniata.edu,70
Kalamazoo College,MI,Kalamazoo,50412,1467,1140-1370,http://www.kzoo.edu,73
Kansas City Art Institute,MO,Kansas City,,,N/A,//www.kcai.edu,
Kansas State University,KS,Manhattan,25887,17869,N/A,//www.elms.edu,94
Kansas Wesleyan University,KS,Salina,30020,668,980-1170,http://www.kwu.edu,47
Kean University,NJ,Union,19771,11824,890-1080,http://www.kean.edu,86
Keene State College,NH,Keene,23756,3503,960-1140,http://www.keene.edu,81
Keiser University,FL,Ft. Lauderdale,33120,17892,N/A,https://www.keiseruniversity.edu/admissions/,100
Kennesaw State University,GA,Kennesaw,21636,32274,1080-1270,http://www.kennesaw.edu,58
Kenrick Glennon Seminary,MO,Saint Louis,,,N/A,,
Kent State University,OH,Kent,19792,22557,1030-1210,http://www.kent.edu,85
Kent State University at East Liverpool,OH,East Liverpool,,,N/A,,
Kentucky Christian University,KY,Grayson,,,990-1060,http://www.kcu.edu,40
Kentucky State University,KY,Frankfort,18704,1666,758-1003,http://www.kysu.edu,45
Kentucky Wesleyan College,KY,Owensboro,26440,830,830-1173,https://kwc.edu/,64
Kenyon College,OH,Gambier,58570,1734,1280-1470,http://www.kenyon.edu,36
Kettering College,OH,Kettering,,,N/A,//www.kc.edu/,
Kettering University,MI,Flint,44380,1880,1190-1370,http://www.kettering.edu,70
Keuka College,NY,Keuka Park,33048,1673,980-1140,http://www.keuka.edu,86
Keystone College,PA,La Plume,26720,1340,820-1125,http://www.keystone.edu,71
King's College,PA,Wilkes-Barre,38724,2269,1010-1200,http://www.kings.edu,78
The King's College,NY,New York,37690,554,1120-1310,http://www.tkc.edu/,55
King University,TN,Bristol,15617,1579,950-1160,http://www.king.edu,58
Knox College,IL,Galesburg,48168,1333,1090-1350,http://www.knox.edu,74
Kutztown University of Pennsylvania,PA,Kutztown,14808,7391,970-1140,http://www.kutztown.edu,81
Kuyper College,MI,Grand Rapids,22886,,1000-1150,http://www.kuyper.edu,66
Laboure College,MA,Milton,,,N/A,,
Lackawanna College,PA,Scranton,15660,1873,N/A,//www.lackawanna.edu,31
Lafayette College,PA,Easton,55002,2642,1250-1435,https://www.lafayette.edu/,29
LaGrange College,GA,LaGrange,31500,877,1020-1180,http://www.lagrange.edu,48
Laguna College of Art and Design,CA,Laguna Beach,30700,636,N/A,http://www.lcad.edu/,33
Lake Erie College,OH,Painesville,32322,,910-1120,http://www.lec.edu,60
Lake Forest College,IL,Lake Forest,48424,1492,1110-1310,http://www.lakeforest.edu,58
Lakeland University,WI,Plymouth,,,1160-1190,http://www.lakeland.edu,52
Lake Michigan College,MI,Benton Harbor,,,N/A,https://www.theamericancollege.edu,
Lake-Sumter State College,FL,Leesburg,19128,4814,N/A,https://www.lssc.edu/future-students/admissions/,100
Lake Superior State University,MI,Sault Ste. Marie,12450,1991,990-1200,http://www.lssu.edu,63
Lakeview College of Nursing,IL,Danville,,,N/A,//www.lakeviewcol.edu/,
Lake Washington Institute of Technology,WA,Kirkland,19288,4389,N/A,//www.lwtech.edu/,100
Lamar University,TX,Beaumont,23002,8904,950-1100,http://www.lamar.edu,84
Lancaster Bible College,PA,Lancaster,26170,1688,1000-1200,//www.lbc.edu/,57
Lander University,SC,Greenwood,21300,2970,930-1120,http://www.lander.edu,43
Landmark College,VT,Putney,59100,489,N/A,https://www.landmark.edu,57
Lane College,TN,Jackson,11500,1232,N/A,http://www.lanecollege.edu,
Langston University,OK,Langston,13950,1945,N/A,http://www.langston.edu/,55
La Roche University,PA,Pittsburgh,29464,1289,910-1110,http://www.laroche.edu,99
La Salle University,PA,Philadelphia,31650,3904,970-1160,http://www.lasalle.edu,81
Lasell College,MA,Newton,37000,1674,980-1170,http://www.lasell.edu,80
La Sierra University,CA,Riverside,33570,1842,940-1160,https://lasierra.edu/about/,49
Lawrence Technological University,MI,Southfield,35280,,1060-1280,http://www.ltu.edu,60
Lawrence University,WI,Appleton,49122,1472,1210-1450,http://www.lawrence.edu,62
Lebanese American University,,Chouran,20587,7433,1000-1210,http://www.lau.edu.lb,90
Lebanon Valley College,PA,Annville,44910,1744,1068-1280,//www.lvc.edu,78
Lees-McRae College,NC,Banner Elk,26198,966,N/A,http://www.lmc.edu,57
Lee University,TN,Cleveland,18770,4883,960-1220,http://www.leeuniversity.edu,83
Lehigh University,PA,Bethlehem,55240,5047,1270-1450,https://www1.lehigh.edu,22
Le Moyne College,NY,Syracuse,35230,2747,1080-1270,https://www.lemoyne.edu,69
LeMoyne-Owen College,TN,Memphis,11216,885,400-800,http://www.loc.edu/,93
Lenoir-Rhyne University,NC,Hickory,37400,1825,960-1180,http://www.lr.edu,74
Lesley University,MA,Cambridge,28750,2127,938-1293,//www.lesley.edu,76
LeTourneau University,TX,Longview,31270,2801,1090-1320,http://www.letu.edu,46
Lewis & Clark College,OR,Portland,52780,2087,1230-1390,http://www.lclark.edu,74
Lewis-Clark State College,ID,Lewiston,19978,3746,930-1100,http://www.lcsc.edu,100
Lewis University,IL,Romeoville,33420,4351,1040-1200,http://www.lewisu.edu,58
Liberty University,VA,Lynchburg,24906,45935,980-1180,http://www.liberty.edu,56
Life Pacific College,CA,San Dimas,,,893-1133,//www.lifepacific.edu,97
Life University,GA,Marietta,13101,898,860-1070,http://www.life.edu,96
LIM College,NY,New York,27810,1503,970-1150,http://www.limcollege.edu,83
Limestone College,SC,Gaffney,26300,2374,860-1090,http://www.limestone.edu,14
Lincoln Christian University,IL,Lincoln,13590,415,940-1180,http://lincolnchristian.edu,64
Lincoln College,IL,Lincoln,,,700-810,http://www.lincolncollege.edu,57
Lincoln College of New England--Southington,CT,Southington,,,N/A,,
Lincoln Memorial University,TN,Harrogate,22740,1953,1003-1198,http://www.lmunet.edu,43
Lincoln University,PA,Lincoln University,16636,2122,860-1020,http://www.lincoln.edu,81
Lincoln University,MO,Jefferson City,14172,2377,800-980,http://www.lincolnu.edu,52
Lindenwood University,MO,St. Charles,18100,6529,1000-1160,http://www.lindenwood.edu,88
Lindsey Wilson College,KY,Columbia,25350,2047,N/A,http://www.lindsey.edu,95
Linfield College,OR,McMinnville,44062,1376,1020-1200,http://www.linfield.edu,81
Lipscomb University,TN,Nashville,33424,2938,1060-1320,http://www.lipscomb.edu,60
Livingstone College,NC,Salisbury,17763,1148,770-930,http://www.livingstone.edu/,42
Lock Haven University of Pennsylvania,PA,Lock Haven,20452,3067,920-1110,http://www.lockhaven.edu,94
Logan University,MO,Chesterfield,,,N/A,,
Loma Linda University,CA,Loma Linda,,,N/A,//www.llu.edu,
Long Island University,NY,Brookville,38368,9918,1050-1250,//www.liu.edu,76
Longwood University,VA,Farmville,29720,4324,980-1150,http://www.longwood.edu/,89
Loras College,IA,Dubuque,35218,1393,998-1183,http://www.loras.edu,93
Louisiana College,LA,Pineville,17000,1004,940-1170,http://www.lacollege.edu,78
Louisiana State University--Alexandria,LA,Alexandria,14024,3247,800-1080,http://www.lsua.edu,73
Louisiana State University--Baton Rouge,LA,Baton Rouge,28639,25361,1070-1290,http://www.lsu.edu,74
Louisiana State University Health Sciences Center,LA,New Orleans,,,N/A,//www.lsuhsc.edu,
Louisiana State University Health Sciences Center--Shreveport,LA,Shreveport,,,N/A,,
Louisiana State University--Shreveport,LA,Shreveport,20673,2511,1020-1140,http://www.lsus.edu,87
Louisiana Tech University,LA,Ruston,19098,11185,870-970,http://www.latech.edu,63
Lourdes University,OH,Sylvania,23550,1085,940-1140,http://www.lourdes.edu,90
Loyola Marymount University,CA,Los Angeles,50283,6700,1210-1390,http://www.lmu.edu,47
Loyola University Chicago,IL,Chicago,45543,11919,1120-1310,http://www.luc.edu,68
Loyola University Maryland,MD,Baltimore,50265,3879,1140-1320,http://www.loyola.edu,79
Loyola University New Orleans,LA,New Orleans,40592,2982,1060-1240,http://www.loyno.edu,75
Lubbock Christian University,TX,Lubbock,23330,1439,955-1210,https://lcu.edu,90
Luther College,IA,Decorah,44070,2005,1050-1310,http://www.luther.edu,63
Lycoming College,PA,Williamsport,41626,1142,1010-1198,http://www.lycoming.edu,66
Lynn University,FL,Boca Raton,38930,2232,990-1170,http://www.lynn.edu,70
Lyon College,AR,Batesville,29140,676,1040-1188,http://www.lyon.edu,50
Macalester College,MN,St. Paul,56292,2174,1310-1500,http://www.macalester.edu,41
MacMurray College,IL,Jacksonville,,,980-1128,http://www.mac.edu,60
Madonna University,MI,Livonia,23100,2440,960-1170,http://www.madonna.edu,78
Maharishi University of Management,IA,Fairfield,,,N/A,//www.mum.edu,
Maine College of Art,ME,Portland,,,N/A,http://www.meca.edu,
Maine Maritime Academy,ME,Castine,27820,979,1000-1180,http://www.mainemaritime.edu,46
Malone University,OH,Canton,31800,1288,940-1190,http://www.malone.edu,70
Manchester University,IN,North Manchester,33624,1191,850-1100,https://www.manchester.edu,59
Manhattan Christian College,KS,Manhattan,,,N/A,//www.mccks.edu,
Manhattan College,NY,Riverdale,42608,3654,1070-1260,http://www.manhattan.edu,74
Manhattan School of Music,NY,New York,,,N/A,http://msmnyc.edu/,
Manhattanville College,NY,Purchase,39570,1588,1030-1180,http://www.mville.edu,90
Mansfield University of Pennsylvania,PA,Mansfield,21780,1599,950-1130,http://www.mansfield.edu,92
Maranatha Baptist University,WI,Watertown,15410,785,1043-1218,http://www.mbu.edu,76
Maria College of Albany,NY,Albany,,,N/A,http://www.mariacollege.edu,
Marian University,IN,Indianapolis,35000,2429,1020-1200,http://www.marian.edu,61
Marian University,WI,Fond du Lac,27400,,980-1070,https://www.marianuniversity.edu/,68
Marietta College,OH,Marietta,36040,1052,990-1210,https://www.marietta.edu,69
Marist College,NY,Poughkeepsie,40525,5670,1140-1320,http://www.marist.edu,46
Marlboro College,VT,Marlboro,27485,146,1060-1360,http://www.marlboro.edu,92
Marlboro College Graduate & Professional Studies,VT,Marlboro,,,N/A,http://www.drury.edu,
Marquette University,WI,Milwaukee,43936,8435,1150-1320,http://www.marquette.edu,82
Marshall University,WV,Huntington,19266,9593,910-1130,http://www.marshall.edu,91
Mars Hill University,NC,Mars Hill,34118,1132,920-1130,http://www.mhu.edu,57
Martin Luther College,MN,New Ulm,,,N/A,//www.mlc-wels.edu,
Martin Methodist College,TN,Pulaski,23496,901,983-1093,//www.martinmethodist.edu,100
Martin University,IN,Indianapolis,,,N/A,//www.martin.edu,
Mary Baldwin University,VA,Staunton,31085,1327,950-1130,//www.marybaldwin.edu,100
Marygrove College,MI,Detroit,,,910-1145,http://www.marygrove.edu,41
Maryland Institute College of Art,MD,Baltimore,50330,1714,1030-1290,http://www.mica.edu,64
Marymount California University,CA,Rancho Palos Verdes,36134,735,935-1198,//www.marymountcalifornia.edu,85
Marymount Manhattan College,NY,New York,35628,2063,1030-1220,http://www.mmm.edu,78
Marymount University,VA,Arlington,32850,2287,950-1180,http://www.marymount.edu,91
Maryville College,TN,Maryville,35578,1146,910-1170,http://www.maryvillecollege.edu,55
Maryville University of St. Louis,MO,St Louis,28470,3678,1020-1240,http://www.maryville.edu,95
Marywood University,PA,Scranton,35906,1950,1010-1190,http://www.marywood.edu,75
Massachusetts College of Art and Design,MA,Boston,38500,1945,N/A,http://www.massart.edu,67
Massachusetts College of Liberal Arts,MA,North Adams,20050,1277,990-1230,http://www.mcla.edu,74
Massachusetts Institute of Technology,MA,Cambridge,53790,4602,1500-1570,http://web.mit.edu/,7
Massachusetts Maritime Academy,MA,Buzzards Bay,25752,1709,1050-1200,https://www.maritime.edu,89
The Master's University and Seminary,CA,Santa Clarita,25390,1399,1010-1240,http://www.masters.edu,77
Mayville State University,ND,Mayville,9946,1077,826-845,http://www.mayvillestate.edu,48
McDaniel College,MD,Westminster,44540,1558,1050-1230,http://www.mcdaniel.edu,64
McGill University,,"Montreal, Quebec",,,N/A,http://www.mcgill.ca/,
McKendree University,IL,Lebanon,31640,1956,960-1270,http://www.mckendree.edu,67
McMurry University,TX,Abilene,27924,1128,950-1150,https://mcm.edu/,41
McNeese State University,LA,Lake Charles,15898,7033,960-1150,http://www.mcneese.edu,70
McPherson College,KS,McPherson,30077,716,990-1170,http://www.mcpherson.edu,77
MCPHS University,MA,Boston,33620,,1040-1240,http://www.mcphs.edu,84
Medaille College,NY,Buffalo,,,850-1080,http://www.medaille.edu,75
Medical University of South Carolina,SC,Charleston,,,N/A,//www.musc.edu,
Memorial University of Newfoundland,,"St. John's, Newfoundland",,,N/A,//www.mun.ca/,
Memphis College of Art,TN,Memphis,,,N/A,http://www.mca.edu,
Menlo College,CA,Atherton,42800,,1008-1165,http://www.menlo.edu,44
Mercer University,GA,Macon,37808,4797,1180-1340,http://www.mercer.edu,72
Mercy College,NY,Dobbs Ferry,19594,6611,N/A,http://www.mercy.edu,79
Mercy College of Health Sciences,IA,Des Moines,18150,727,N/A,https://www.mchs.edu/,98
Mercy College of Ohio,OH,Toledo,,,N/A,//www.mercycollege.edu/,
Mercyhurst University,PA,Erie,40170,2401,1020-1210,http://www.mercyhurst.edu,87
Meredith College,NC,Raleigh,38620,1603,1000-1200,http://www.meredith.edu,63
Merrimack College,MA,North Andover,43340,3726,1040-1195,https://www.merrimack.edu,83
Messiah College,PA,Mechanicsburg,36120,2734,1080-1310,http://www.messiah.edu,79
Methodist College,IL,Peoria,,,N/A,,
Methodist University,NC,Fayetteville,34522,1772,960-1150,http://www.methodist.edu,55
Metropolitan College of New York,NY,New York,19454,,N/A,http://www.mcny.edu,91
Metropolitan State University,MN,St. Paul,,,N/A,http://www.metrostate.edu,56
Metropolitan State University of Denver,CO,Denver,20847,19437,900-1110,http://www.msudenver.edu,59
MGH Institute of Health Professions,MA,Boston,,,N/A,,
Miami Dade College,FL,Miami,,,N/A,//www.mdc.edu/,
Miami International University of Art & Design,FL,Miami,,,N/A,//www.aimiu.aii.edu/,
Miami University--Oxford,OH,Oxford,34307,17326,1200-1380,http://www.MiamiOH.edu,75
Michigan State University,MI,East Lansing,39766,39423,1110-1310,http://www.msu.edu/,78
Michigan Technological University,MI,Houghton,35196,5828,1170-1360,http://www.mtu.edu,74
Mid-America Christian University,OK,Oklahoma City,,,N/A,//www.macu.edu,
MidAmerica Nazarene University,KS,Olathe,31786,1304,920-1140,http://www.mnu.edu,59
Mid-Atlantic Christian University,NC,Elizabeth City,,,N/A,http://www.macuniversity.edu,
Middlebury College,VT,Middlebury,56216,2579,1330-1500,http://www.middlebury.edu,17
Middle Georgia State University,GA,Macon,13926,7584,880-1080,http://www.mga.edu/,92
Middle Tennessee State University,TN,Murfreesboro,29038,19251,1020-1240,http://www.mtsu.edu,94
Midland College,TX,Midland,,,N/A,//www.midland.edu/,
Midland University,NE,Fremont,,,920-1068,http://www.midlandu.edu/,64
Midstate College,IL,Peoria,,,N/A,//www.midstate.edu/,
Midway University,KY,Midway,24850,1456,960-1150,http://www.midway.edu,61
Midwestern Baptist Theological Seminary,MO,Kansas City,,,N/A,,
Midwestern State University,TX,Wichita Falls,11330,5372,940-1140,http://www.mwsu.edu,71
Miles College,AL,Birmingham,,,N/A,//www.miles.edu,
Millersville University of Pennsylvania,PA,Millersville,21970,6779,990-1180,http://www.millersville.edu,78
Milligan College,TN,Milligan College,34650,829,1070-1310,http://www.milligan.edu,83
Millikin University,IL,Decatur,37054,1985,960-1210,https://millikin.edu,61
Millsaps College,MS,Jackson,41314,798,1080-1260,http://www.millsaps.edu,59
Mills College,CA,Oakland,30877,772,1008-1240,http://www.mills.edu,86
Milwaukee Institute of Art and Design,WI,Milwaukee,37360,,N/A,http://www.miad.edu,31
Milwaukee School of Engineering,WI,Milwaukee,42162,2595,1188-1370,http://www.msoe.edu,63
Minneapolis College of Art and Design,MN,Minneapolis,39210,741,1030-1220,http://www.mcad.edu,63
Minnesota State University--Mankato,MN,Mankato,16235,12492,N/A,https://mankato.mnsu.edu/,61
Minnesota State University--Moorhead,MN,Moorhead,15982,4828,920-1190,http://www.mnstate.edu,60
Minot State University,ND,Minot,7288,2915,920-1130,http://www.minotstateu.edu,60
MiraCosta College,CA,Oceanside,,,N/A,//www.miracosta.edu,
Misericordia University,PA,Dallas,34560,2030,1040-1200,http://www.misericordia.edu/,83
Mississippi College,MS,Clinton,18610,3232,1030-1236,http://www.mc.edu,38
Mississippi State University,MS,Mississippi State,23950,18490,1070-1330,http://www.msstate.edu,57
Mississippi University for Women,MS,Columbus,7525,2505,1080-1110,http://www.muw.edu,98
Mississippi Valley State University,MS,Itta Bena,,,N/A,http://www.mvsu.edu,86
Missouri Baptist University,MO,St. Louis,,,900-1100,http://www.mobap.edu,55
Missouri Southern State University,MO,Joplin,14578,5851,N/A,http://www.mssu.edu,96
Missouri State University,MO,Springfield,15910,20138,1000-1260,http://www.missouristate.edu,85
Missouri University of Science and Technology,MO,Rolla,29601,6848,1180-1380,http://www.mst.edu,84
Missouri Valley College,MO,Marshall,21100,1848,890-1090,http://www.moval.edu,59
Missouri Western State University,MO,St. Joseph,,,N/A,http://www.missouriwestern.edu,
Mitchell College,CT,New London,,,N/A,//www.mitchell.edu,78
Modesto Junior College,CA,Modesto,,,N/A,//www.mjc.edu,
Molloy College,NY,Rockville Centre,32600,3439,1020-1210,http://www.molloy.edu,81
Monmouth College,IL,Monmouth,38990,914,980-1170,http://www.monmouthcollege.edu/admissions,69
Monmouth University,NJ,West Long Branch,39592,4630,1040-1190,http://www.monmouth.edu,77
Monroe College,NY,Bronx,15860,5568,650-1053,http://www.monroecollege.edu,44
Montana State University,MT,Bozeman,25708,14919,1090-1320,http://www.montana.edu,82
Montana State University--Billings,MT,Billings,19121,3960,N/A,http://www.msubillings.edu,100
Montana State University--Northern,MT,Havre,,,N/A,http://www.loyola.edu,100
Montana Technological University,MT,Butte,22594,2330,1110-1230,https://www.mtech.edu/,90
Montclair State University,NJ,Montclair,21033,16988,990-1170,http://www.montclair.edu,71
Monterrey Institute of Technology and Higher Education--Monterrey,,"64849 Monterrey, Nuevo Leon",,,N/A,//www.mty.itesm.mx/,
Montreat College,NC,Montreat,27850,714,920-1140,http://www.montreat.edu,55
Montserrat College of Art,MA,Beverly,,,N/A,//www.montserrat.edu,
Moody Bible Institute,IL,Chicago,,,N/A,//www.moody.edu/,
Moore College of Art & Design,PA,Philadelphia,,,N/A,http://www.moore.edu,
Moravian College,PA,Bethlehem,45312,2139,1050-1200,http://www.moravian.edu,73
Morehead State University,KY,Morehead,13876,9400,840-1025,http://www.moreheadstate.edu,75
Morehouse College,GA,Atlanta,27576,2206,1010-1210,http://www.morehouse.edu,58
Morgan State University,MD,Baltimore,18480,6419,920-1080,http://www.morgan.edu,66
Morningside College,IA,Sioux City,32720,1282,N/A,http://www.morningside.edu,56
Morris College,SC,Sumter,13886,,N/A,//www.morris.edu,79
Mount Aloysius College,PA,Cresson,23680,1733,943-1120,http://www.mtaloy.edu,46
Mount Angel Seminary,OR,St. Benedict,,,N/A,//www.mountangelabbey.org/seminary/index.html,
Mount Carmel College of Nursing,OH,Columbus,22062,,N/A,//www.mccn.edu/,
Mount Holyoke College,MA,South Hadley,52258,2208,1290-1500,http://www.mtholyoke.edu,51
Mount Marty College,SD,Yankton,28126,862,N/A,http://www.mtmc.edu,69
Mount Mary University,WI,Milwaukee,31160,726,N/A,http://www.mtmary.edu,62
Mount Mercy University,IA,Cedar Rapids,33930,1501,940-1160,http://www.mtmercy.edu,63
Mount Saint Mary's University,CA,Los Angeles,42784,2357,930-1130,http://www.msmu.edu,84
Mount St. Joseph University,OH,Cincinnati,31100,1448,990-1140,http://www.msj.edu,60
Mount St. Mary College,NY,Newburgh,32772,2005,1020-1170,http://www.msmc.edu,94
Mount St. Mary's University,MD,Emmitsburg,42590,1889,1000-1210,http://www.msmary.edu,68
Mount Vernon Nazarene University,OH,Mount Vernon,29244,1838,960-1140,https://www.mvnu.edu/,76
Muhlenberg College,PA,Allentown,54600,2340,1170-1360,http://www.muhlenberg.edu,62
Multnomah University,OR,Portland,,407,1010-1190,http://www.multnomah.edu,53
Murray State University,KY,Murray,24792,8142,1026-1256,http://www.murraystate.edu,81
Muskingum University,OH,New Concord,29128,1616,976-1180,http://www.muskingum.edu,72
Naropa University,CO,Boulder,31790,,N/A,http://www.naropa.edu,100
National American University,SD,Rapid City,,,N/A,//www.national.edu/rc,
National American University--Austin,TX,Austin,,,N/A,//www.skagit.edu,
National Graduate School of Quality Management,MA,Falmouth,,,N/A,http://www.ngs.edu,
National Louis University,IL,Chicago,11010,3051,N/A,http://www.nl.edu,86
National University,CA,La Jolla,13320,7735,N/A,http://www.uwp.edu,
National University College,PR,Bayamon,,,N/A,,
National University of Health Sciences,IL,Lombard,,,N/A,,
National University of Natural Medicine,OR,Portland,,,N/A,,
Navajo Technical University,NM,Crownpoint,,,N/A,,
Nazarene Bible College,CO,Colorado Springs,,,N/A,//www.nbc.edu,
Nazareth College,NY,Rochester,35416,2269,1090-1270,http://www.naz.edu,64
Nebraska Methodist College,NE,Omaha,16308,775,N/A,http://www.methodistcollege.edu/,91
Nebraska Wesleyan University,NE,Lincoln,35444,1849,1010-1270,https://www.nebrwesleyan.edu/,72
Neumann University,PA,Aston,32960,1995,910-1090,http://www.neumann.edu,69
Nevada State College,NV,Henderson,,,N/A,http://nsc.nevada.edu,84
Newberry College,SC,Newberry,27400,1208,920-1120,http://www.newberry.edu/,66
New College of Florida,FL,Sarasota,29944,808,1220-1420,//www.ncf.edu,77
New England College,NH,Henniker,39120,1840,870-950,//www.nec.edu,100
New England College of Business and Finance,MA,Boston,,,N/A,https://www.necb.edu/,
New England College of Optometry,MA,Boston,,,N/A,//www.neco.edu,
New England Conservatory of Music,MA,Boston,50460,468,N/A,http://www.newenglandconservatory.edu,
New England Institute of Art,MA,Brookline,,,N/A,//www.artinstitutes.edu/boston/,
New England Institute of Technology,RI,East Greenwich,,,N/A,http://www.neit.edu/,
New Hampshire Institute of Art,NH,Manchester,,,N/A,,
New Jersey City University,NJ,Jersey City,22220,6237,850-1060,http://www.njcu.edu/,96
New Jersey Institute of Technology,NJ,Newark,32750,8532,1190-1380,http://www.njit.edu,64
Newman University,KS,Wichita,31774,2764,1016-1195,http://www.wabash.edu,63
New Mexico Highlands University,NM,Las Vegas,10590,1924,N/A,http://www.nmhu.edu,64
New Mexico Institute of Mining and Technology,NM,Socorro,23524,1412,1210-1400,http://www.nmt.edu,23
New Mexico State University,NM,Las Cruces,24917,11687,940-1160,http://www.nmsu.edu,66
The New School,NY,New York,50954,7444,1150-1360,http://www.newschool.edu,57
NewSchool of Architecture and Design,CA,San Diego,,,N/A,http://newschoolarch.edu/,
New York Institute of Technology,NY,Old Westbury,38010,3648,1050-1270,http://www.nyit.edu,76
New York School of Interior Design,NY,New York,,,N/A,//www.nysid.edu,
New York University,NY,New York,53308,26733,1310-1510,http://www.nyu.edu,20
Niagara University,NY,Niagara University,34510,2818,1020-1200,http://www.niagara.edu,87
Nicholls State University,LA,Thibodaux,9045,5896,870-1090,http://www.nicholls.edu,94
Nichols College,MA,Dudley,35615,1322,940-1140,http://www.nichols.edu/,82
Norfolk State University,VA,Norfolk,24742,4660,860-1030,http://www.nsu.edu,90
North Carolina A&T State University,NC,Greensboro,20167,10629,950-1110,http://www.ncat.edu,61
North Carolina Central University,NC,Durham,19241,6434,900-1050,http://www.nccu.edu,47
